requestId,host,logname,time,method,url,response,bytes,referer,useragent
125,c3.reach.net,-,807257377,GET,/shuttle/countdown/video/livevideo2.gif,200,71319,,
126,rvr0151.deltanet.com,-,807257382,GET,/shuttle/resources/orbiters/challenger.html,200,8089,,
127,rvr0151.deltanet.com,-,807257383,GET,/shuttle/resources/orbiters/challenger-logo.gif,200,4179,,
128,rvr0151.deltanet.com,-,807257388,GET,/shuttle/resources/orbiters/orbiters-logo.gif,200,1932,,
129,rvr0151.deltanet.com,-,807257388,GET,/images/ksclogosmall.gif,200,3635,,
130,www-a1.proxy.aol.com,-,807257389,GET,/images/,200,17688,,
131,ad03-053.compuserve.com,-,807257400,GET,/ksc.html,200,7280,,
132,bettong.client.uq.oz.au,-,807257404,GET,/history/history.html,200,1602,,
133,ad03-053.compuserve.com,-,807257405,GET,/images/ksclogo-medium.gif,200,5866,,
134,ad03-053.compuserve.com,-,807257413,GET,/images/NASA-logosmall.gif,200,786,,
135,ad03-053.compuserve.com,-,807257414,GET,/images/MOSAIC-logosmall.gif,200,363,,
136,bettong.client.uq.oz.au,-,807257416,GET,/shuttle/missions/missions.html,200,8677,,
137,ad03-053.compuserve.com,-,807257419,GET,/images/WORLD-logosmall.gif,200,669,,
138,ip55.van2.pacifier.com,-,807257420,GET,/history/apollo/apollo-13/news/,200,377,,
139,ad03-053.compuserve.com,-,807257422,GET,/images/USA-logosmall.gif,200,234,,
140,ip55.van2.pacifier.com,-,807257427,GET,/history/apollo/apollo-13/,200,1732,,
141,ip55.van2.pacifier.com,-,807257430,GET,/icons/text.xbm,200,527,,
142,ip-pdx4-15.teleport.com,-,807257430,GET,/facilities/lcc.html,200,2489,,
143,ad03-053.compuserve.com,-,807257431,GET,/shuttle/countdown/,200,4324,,
144,ip-pdx4-15.teleport.com,-,807257433,GET,/images/ksclogosmall.gif,200,3635,,
145,ip-pdx4-15.teleport.com,-,807257434,GET,/images/kscmap-tiny.gif,200,2537,,
146,ad03-053.compuserve.com,-,807257440,GET,/shuttle/countdown/count70.gif,200,46573,,
147,ad03-053.compuserve.com,-,807257446,GET,/images/KSC-logosmall.gif,200,1204,,
148,wyndmoor1-7.slip.netaxs.com,-,807257450,GET,/shuttle/missions/sts-67/mission-sts-67.html,200,21521,,
149,wyndmoor1-7.slip.netaxs.com,-,807257454,GET,/shuttle/missions/sts-67/sts-67-patch-small.gif,200,17083,,
150,ip-pdx4-15.teleport.com,-,807257460,GET,/images/lcc-small2.gif,200,58026,,
151,rvr0151.deltanet.com,-,807257462,GET,/shuttle/missions/51-l/51-l-info.html,200,1387,,
152,rvr0151.deltanet.com,-,807257467,GET,/shuttle/missions/51-l/movies/,200,372,,
153,rvr0151.deltanet.com,-,807257468,GET,/icons/blank.xbm,200,509,,
154,rvr0151.deltanet.com,-,807257473,GET,/icons/menu.xbm,200,527,,
155,bettong.client.uq.oz.au,-,807257477,GET,/htbin/wais.pl,200,308,,
156,rvr0151.deltanet.com,-,807257478,GET,/shuttle/missions/51-l/,200,1712,,
157,rvr0151.deltanet.com,-,807257479,GET,/icons/image.xbm,200,509,,
158,rvr0151.deltanet.com,-,807257479,GET,/icons/text.xbm,200,527,,
159,www-b3.proxy.aol.com,-,807257482,GET,/images/,200,17688,,
160,cc-sst-mg1-dip1-12.massey.ac.nz,-,807257487,GET,/facilities/tour.html,200,3723,,
161,ad03-053.compuserve.com,-,807257487,GET,/cgi-bin/imagemap/countdown70?284,288,302,85,
162,www-b3.proxy.aol.com,-,807257489,GET,/icons/menu.xbm,200,527,,
163,www-b3.proxy.aol.com,-,807257489,GET,/icons/blank.xbm,200,509,,
164,www-b3.proxy.aol.com,-,807257489,GET,/icons/image.xbm,200,509,,
165,ad03-053.compuserve.com,-,807257489,GET,/htbin/cdt_main.pl,200,3714,,
166,dialup12.leuven.eunet.be,-,807257492,GET,/shuttle/missions/sts-69/,200,2406,,
167,dialup12.leuven.eunet.be,-,807257493,GET,/icons/blank.xbm,200,509,,
168,dialup12.leuven.eunet.be,-,807257493,GET,/icons/menu.xbm,200,527,,
169,dialup12.leuven.eunet.be,-,807257493,GET,/icons/image.xbm,200,509,,
170,www-b3.proxy.aol.com,-,807257494,GET,/icons/unknown.xbm,200,515,,
171,dialup12.leuven.eunet.be,-,807257495,GET,/icons/text.xbm,200,527,,
172,ad03-053.compuserve.com,-,807257495,GET,/shuttle/countdown/images/countclock.gif,200,13994,,
173,wyndmoor1-7.slip.netaxs.com,-,807257495,GET,/images/launch-logo.gif,200,1713,,
174,wyndmoor1-7.slip.netaxs.com,-,807257495,GET,/history/apollo/images/apollo-logo1.gif,200,1173,,
175,bettong.client.uq.oz.au,-,807257496,GET,/htbin/wais.pl?spacewalk,200,6740,,
176,cc-sst-mg1-dip1-12.massey.ac.nz,-,807257498,GET,/facts/facts.html,200,4722,,
177,dialup12.leuven.eunet.be,-,807257498,GET,/shuttle/missions/sts-69/mission-sts-69.html,200,10566,,
178,dialup12.leuven.eunet.be,-,807257500,GET,/shuttle/missions/sts-69/sts-69-patch-small.gif,200,8083,,
179,dialup12.leuven.eunet.be,-,807257508,GET,/images/launch-logo.gif,200,1713,,
180,dialup12.leuven.eunet.be,-,807257508,GET,/images/KSC-logosmall.gif,200,1204,,
181,castles10.castles.com,-,807257511,GET,/shuttle/missions/sts-71/images/images.html,200,8529,,
182,dialup12.leuven.eunet.be,-,807257513,GET,/history/apollo/images/apollo-logo1.gif,200,1173,,
183,cc-sst-mg1-dip1-12.massey.ac.nz,-,807257514,GET,/facts/faq12.html,200,19547,,
184,wyndmoor1-7.slip.netaxs.com,-,807257539,GET,/shuttle/missions/sts-66/sts-66-patch-small.gif,200,20271,,
185,dialup12.leuven.eunet.be,-,807257550,GET,/shuttle/technology/sts-newsref/sts_asm.html,200,71654,,
186,bettong.client.uq.oz.au,-,807257555,GET,/shuttle/missions/status/r93-31,200,3212,,
187,castles10.castles.com,-,807257559,GET,/shuttle/missions/sts-71/images/KSC-95EC-0544.gif,200,36712,,
188,etapps.tech.iupui.edu,-,807257560,GET,/shuttle/missions/sts-71/movies/movies.html,200,3381,,
189,193.84.66.147,-,807257561,GET,/,200,7280,,
190,www-b3.proxy.aol.com,-,807257565,GET,/images/bluemarb.gif,200,4441,,
191,ad03-053.compuserve.com,-,807257572,GET,/shuttle/countdown/countdown.html,200,4324,,
192,phoenix.erc.msstate.edu,-,807257573,GET,/shuttle/missions/missions.html,200,8677,,
193,phoenix.erc.msstate.edu,-,807257574,GET,/images/launchmedium.gif,200,11853,,
194,phoenix.erc.msstate.edu,-,807257575,GET,/images/KSC-logosmall.gif,200,1204,,
195,phoenix.erc.msstate.edu,-,807257575,GET,/images/NASA-logosmall.gif,200,786,,
196,pppa006.compuserve.com,-,807257575,GET,/shuttle/missions/sts-71/movies/sts-71-landing.mpg,200,720896,,
197,193.84.66.147,-,807257575,GET,/images/ksclogo-medium.gif,200,5866,,
198,193.84.66.147,-,807257584,GET,/images/NASA-logosmall.gif,200,786,,
199,wyndmoor1-7.slip.netaxs.com,-,807257588,GET,/shuttle/missions/sts-66/mission-sts-66.html,200,73728,,
200,193.84.66.147,-,807257590,GET,/images/ksclogo.gif,200,14298,,
201,etapps.tech.iupui.edu,-,807257595,GET,/shuttle/missions/sts-71/movies/crew-arrival-t38.mpg,200,305722,,
202,gwa.ericsson.com,-,807257597,GET,/images/ksclogosmall.gif,304,0,,
203,ad11-013.compuserve.com,-,807257601,GET,/shuttle/technology/sts-newsref/stsref-toc.html,200,84905,,
204,www-b3.proxy.aol.com,-,807257604,GET,/images/MOSAIC-logosmall.gif,200,363,,
205,gwa.ericsson.com,-,807257612,GET,/history/skylab/skylab-station.txt,200,286,,
206,ncg-72.axionet.com,-,807257632,GET,/shuttle/missions/sts-71/movies/sts-71-mir-dock.mpg,200,311296,,
207,engei.engei-hs.oyama.tochigi.jp,-,807257654,GET,/,200,7280,,
208,198.189.70.111,-,807257659,GET,/history/apollo/apollo.html,200,3260,,
209,www-d4.proxy.aol.com,-,807257661,GET,/shuttle/countdown/,304,0,,
210,198.189.70.111,-,807257661,GET,/history/apollo/images/footprint-small.gif,200,18149,,
211,198.189.70.111,-,807257662,GET,/images/KSC-logosmall.gif,200,1204,,
212,198.189.70.111,-,807257662,GET,/history/apollo/images/apollo-logo1.gif,200,1173,,
213,castles10.castles.com,-,807257664,GET,/shuttle/missions/sts-71/images/index71.gif,200,73728,,
214,engei.engei-hs.oyama.tochigi.jp,-,807257666,GET,/images/ksclogo-medium.gif,200,5866,,
215,gwa.ericsson.com,-,807257666,GET,/shuttle/missions/missions.html,304,0,,
216,gwa.ericsson.com,-,807257672,GET,/images/launchmedium.gif,200,11853,,
217,castles10.castles.com,-,807257685,GET,/images/WORLD-logosmall.gif,200,669,,
218,198.189.70.111,-,807257691,GET,/history/apollo/apollo-13/apollo-13.html,200,18556,,
219,198.189.70.111,-,807257693,GET,/history/apollo/apollo-13/apollo-13-patch-small.gif,200,12859,,
220,ad11-013.compuserve.com,-,807257711,GET,/shuttle/technology/sts-newsref/sts-av.html,200,117168,,
221,198.189.70.111,-,807257711,GET,/images/ksclogosmall.gif,200,3635,,
222,198.189.70.111,-,807257711,GET,/history/apollo/images/footprint-logo.gif,200,4209,,
223,193.84.66.147,-,807257720,GET,/shuttle/missions/missions.html,200,8677,,
224,www-d4.proxy.aol.com,-,807257722,GET,/cgi-bin/imagemap/countdown70?61,190,302,96,
225,dd08-050.compuserve.com,-,807257723,GET,/history/apollo/apollo-13/movies/apo13launch.mpg,200,402466,,
226,wedding.eznet.com,-,807257725,GET,/,200,7280,,
227,wedding.eznet.com,-,807257728,GET,/images/ksclogo-medium.gif,200,5866,,
228,wedding.eznet.com,-,807257737,GET,/images/MOSAIC-logosmall.gif,200,363,,
229,wedding.eznet.com,-,807257737,GET,/images/USA-logosmall.gif,200,234,,
230,wedding.eznet.com,-,807257738,GET,/images/NASA-logosmall.gif,200,786,,
231,wedding.eznet.com,-,807257738,GET,/images/WORLD-logosmall.gif,200,669,,
232,engei.engei-hs.oyama.tochigi.jp,-,807257739,GET,/images/NASA-logosmall.gif,200,786,,
233,pc-heh.icl.dk,-,807257743,GET,/,200,7280,,
234,pc-heh.icl.dk,-,807257743,GET,/images/ksclogo-medium.gif,200,5866,,
235,pc-heh.icl.dk,-,807257744,GET,/images/NASA-logosmall.gif,200,786,,
236,193.84.66.147,-,807257745,GET,/images/launchmedium.gif,200,11853,,
237,pc-heh.icl.dk,-,807257745,GET,/images/MOSAIC-logosmall.gif,200,363,,
238,pc-heh.icl.dk,-,807257745,GET,/images/USA-logosmall.gif,200,234,,
239,pc-heh.icl.dk,-,807257745,GET,/images/WORLD-logosmall.gif,200,669,,
240,wedding.eznet.com,-,807257751,GET,/shuttle/missions/sts-71/movies/movies.html,200,3381,,
241,engei.engei-hs.oyama.tochigi.jp,-,807257752,GET,/images/MOSAIC-logosmall.gif,200,363,,
242,wedding.eznet.com,-,807257753,GET,/shuttle/missions/sts-71/sts-71-patch-small.gif,200,12054,,
243,engei.engei-hs.oyama.tochigi.jp,-,807257754,GET,/images/USA-logosmall.gif,200,234,,
244,engei.engei-hs.oyama.tochigi.jp,-,807257756,GET,/images/WORLD-logosmall.gif,200,669,,
245,pc-heh.icl.dk,-,807257757,GET,/shuttle/countdown/,200,4324,,
246,pc-heh.icl.dk,-,807257758,GET,/images/KSC-logosmall.gif,200,1204,,
247,pc-heh.icl.dk,-,807257759,GET,/shuttle/countdown/count70.gif,200,46573,,
248,193.84.66.147,-,807257760,GET,/images/KSC-logosmall.gif,200,1204,,
249,pc-heh.icl.dk,-,807257770,GET,/cgi-bin/imagemap/countdown70?71,222,302,110,
250,pc-heh.icl.dk,-,807257771,GET,/shuttle/missions/sts-70/images/images.html,200,8657,,
251,violin-05.synapse.net,-,807257772,GET,/shuttle/countdown/liftoff.html,200,5220,,
252,violin-05.synapse.net,-,807257777,GET,/images/NASA-logosmall.gif,200,786,,
253,pc-heh.icl.dk,-,807257781,GET,/shuttle/missions/sts-70/images/KSC-95EC-0515.gif,200,39252,,
254,pc-heh.icl.dk,-,807257795,GET,/shuttle/missions/sts-70/images/KSC-95EC-0649.gif,200,30043,,
255,engei.engei-hs.oyama.tochigi.jp,-,807257795,GET,/shuttle/missions/missions.html,200,8677,,
256,violin-05.synapse.net,-,807257796,GET,/shuttle/countdown/video/livevideo2.gif,200,71319,,
257,pc-heh.icl.dk,-,807257808,GET,/shuttle/missions/sts-70/images/KSC-95EC-0768.gif,200,25000,,
258,comm17p14.stcloud.msus.edu,-,807257817,GET,/history/apollo/apollo-11/apollo-11.html,200,44877,,
259,pc-heh.icl.dk,-,807257822,GET,/shuttle/missions/sts-70/images/KSC-95EC-0852.gif,200,23107,,
260,violin-05.synapse.net,-,807257822,GET,/shuttle/resources/orbiters/discovery.html,200,6849,,
261,violin-05.synapse.net,-,807257823,GET,/shuttle/resources/orbiters/discovery-logo.gif,200,4179,,
262,violin-05.synapse.net,-,807257826,GET,/shuttle/resources/orbiters/orbiters-logo.gif,200,1932,,
263,violin-05.synapse.net,-,807257826,GET,/images/ksclogosmall.gif,200,3635,,
264,wedding.eznet.com,-,807257827,GET,/shuttle/missions/sts-71/movies/sts-71-hand-shake.mpg,200,81920,,
265,engei.engei-hs.oyama.tochigi.jp,-,807257828,GET,/images/launchmedium.gif,200,11853,,
266,engei.engei-hs.oyama.tochigi.jp,-,807257843,GET,/images/KSC-logosmall.gif,200,1204,,
267,violin-05.synapse.net,-,807257851,GET,/shuttle/resources/orbiters/enterprise.html,200,9732,,
268,pc-heh.icl.dk,-,807257852,GET,/shuttle/missions/sts-70/images/KSC-95EC-1012.gif,200,32215,,
269,violin-05.synapse.net,-,807257852,GET,/shuttle/resources/orbiters/enterprise-logo.gif,200,25257,,
270,violin-05.synapse.net,-,807257857,GET,/images/landing-logo.gif,200,2582,,
271,pc-heh.icl.dk,-,807257875,GET,/shuttle/missions/sts-70/images/KSC-95EC-1012.jpg,200,83915,,
272,patches.jpl.nasa.gov,-,807257895,GET,/images/launchpalms-small.gif,200,11473,,
273,www-c4.proxy.aol.com,-,807257904,GET,/shuttle/resources/orbiters/discovery.html,200,6849,,
274,dialup12.leuven.eunet.be,-,807257911,GET,/shuttle/technology/sts-newsref/sts_asm.html,200,71654,,
275,pc-heh.icl.dk,-,807257911,GET,/shuttle/missions/sts-70/images/KSC-95EC-1015.gif,200,55442,,
276,137.132.246.148,-,807257922,GET,/images/,200,17688,,
277,dd08-050.compuserve.com,-,807257923,GET,/history/apollo/apollo-13/movies/apo13damage.mpg,200,297851,,
278,193.84.66.147,-,807257927,GET,/elv/elvpage.htm,200,7775,,
279,pc-heh.icl.dk,-,807257931,GET,/shuttle/missions/sts-70/images/KSC-95EC-1018.gif,200,28291,,
280,193.84.66.147,-,807257943,GET,/images/launch.gif,200,49152,,
281,violin-05.synapse.net,-,807257943,GET,/htbin/cdt_clock.pl,200,543,,
282,pc-heh.icl.dk,-,807257944,GET,/shuttle/missions/sts-70/images/KSC-95EC-1056.gif,200,47925,,
283,137.132.246.148,-,807257952,GET,/icons/menu.xbm,200,527,,
284,violin-05.synapse.net,-,807257953,GET,/shuttle/countdown/countdown.html,200,4324,,
285,violin-05.synapse.net,-,807257955,GET,/images/KSC-logosmall.gif,200,1204,,
286,137.132.246.148,-,807257957,GET,/icons/blank.xbm,200,509,,
287,pc-heh.icl.dk,-,807257957,GET,/shuttle/missions/sts-70/images/KSC-95EC-1057.gif,200,44125,,
