id	host	logname	time	method	url	bytes	useragent
ABC	castles10.castles.com	-	807257135	GET	/shuttle/missions/sts-70/images/index70.gif	294233	
ABC	in2pc2.med.niigata-u.ac.jp	-	807257139	GET	/images/KSC-logosmall.gif	1204	
ABC	in2pc2.med.niigata-u.ac.jp	-	807257139	GET	/images/launch-logo.gif	1713	
ABC	dd10-046.compuserve.com	-	807257140	GET	/shuttle/missions/missions.html	8677	
ABC	dd10-046.compuserve.com	-	807257143	GET	/images/launchmedium.gif	11853	
ABC	cisco-slip3.acc.virginia.edu	-	807257143	GET	/software/winvn/winvn.html	9866	
ABC	cisco-slip3.acc.virginia.edu	-	807257146	GET	/software/winvn/winvn.gif	25218	
ABC	cisco-slip3.acc.virginia.edu	-	807257146	GET	/images/construct.gif	1414	
ABC	cisco-slip3.acc.virginia.edu	-	807257146	GET	/software/winvn/bluemarb.gif	4441	
ABC	cisco-slip3.acc.virginia.edu	-	807257156	GET	/software/winvn/wvsmall.gif	13372	
ABC	c3.reach.net	-	807257156	GET	/shuttle/countdown/images/countclock.jpeg	42457	
ABC	cisco-slip3.acc.virginia.edu	-	807257156	GET	/images/KSC-logosmall.gif	1204	
ABC	in2pc2.med.niigata-u.ac.jp	-	807257161	GET	/shuttle/technology/sts-newsref/sts_asm.html	71654	
ABC	in2pc2.med.niigata-u.ac.jp	-	807257170	GET	/shuttle/technology/images/srb_mod_compare_6-small.gif	28219	
ABC	cisco-slip3.acc.virginia.edu	-	807257171	GET	/images/MOSAIC-logosmall.gif	363	
ABC	in2pc2.med.niigata-u.ac.jp	-	807257172	GET	/shuttle/technology/images/srb_mod_compare_1-small.gif	36902	
ABC	in2pc2.med.niigata-u.ac.jp	-	807257174	GET	/shuttle/technology/images/srb_mod_compare_3-small.gif	49152	
ABC	cisco-slip3.acc.virginia.edu	-	807257175	GET	/images/USA-logosmall.gif	234	
ABC	cisco-slip3.acc.virginia.edu	-	807257175	GET	/images/WORLD-logosmall.gif	669	
ABC	mtv-pm0-ip4.halcyon.com	-	807257180	GET	/shuttle/countdown/video/livevideo2.gif	71319	
ABC	204.227.13.21	-	807257182	GET	/facts/faq11.html	22096	
ABC	mac19.ils.uec.ac.jp	-	807257195	GET	/images/KSC-logosmall.gif	1204	
ABC	204.227.13.21	-	807257208	GET	/images/ksclogosmall.gif	3635	
ABC	204.227.13.21	-	807257208	GET	/images/faq.gif	263	
ABC	dd10-046.compuserve.com	-	807257216	GET	/shuttle/missions/sts-1/mission-sts-1.html	8492	
ABC	dd10-046.compuserve.com	-	807257219	GET	/shuttle/missions/sts-1/sts-1-patch-small.gif	14176	
ABC	ppp33.asahi-net.or.jp	-	807257225	GET	/shuttle/missions/sts-67/images/KSC-95EC-0381.gif	57344	
ABC	mac19.ils.uec.ac.jp	-	807257249	GET	/history/mercury/mercury.html	1871	
ABC	mac19.ils.uec.ac.jp	-	807257251	GET	/images/mercury-logo.gif	6588	
ABC	mac19.ils.uec.ac.jp	-	807257252	GET	/images/ksclogosmall.gif	3635	
ABC	mac19.ils.uec.ac.jp	-	807257253	GET	/history/apollo/images/apollo-logo.gif	3047	
ABC	hella.stm.it	-	807257271	GET	/shuttle/missions/sts-70/images/DSC-95EC-0001.jpg	0	
ABC	dd10-046.compuserve.com	-	807257291	GET	/history/apollo/images/apollo-small.gif	9630	
ABC	rvr0151.deltanet.com	-	807257293	GET	/shuttle/technology/images/srb_mod_compare_6-small.gif	28219	
ABC	rvr0151.deltanet.com	-	807257294	GET	/shuttle/technology/images/srb_mod_compare_1-small.gif	36902	
ABC	c3.reach.net	-	807257300	GET	/shuttle/countdown/liftoff.html	0	
ABC	202.30.120.241	-	807257300	GET	/shuttle/countdown/lps/fr.html	1879	
ABC	cc-sst-mg1-dip1-12.massey.ac.nz	-	807257307	GET	/	7280	
ABC	202.30.120.241	-	807257312	GET	/shuttle/countdown/lps/fr.gif	30232	
ABC	202.30.120.241	-	807257314	GET	/shuttle/countdown/lps/back.gif	1289	
ABC	rvr0151.deltanet.com	-	807257315	GET	/shuttle/technology/images/srb_mod_compare_3-small.gif	55666	
ABC	cc-sst-mg1-dip1-12.massey.ac.nz	-	807257327	GET	/facts/about_ksc.html	3977	
ABC	mac19.ils.uec.ac.jp	-	807257343	GET	/history/mercury/mercury-spacecraft.txt	761	
ABC	rvr0151.deltanet.com	-	807257343	GET	/shuttle/missions/51-l/mission-51-l.html	6658	
ABC	rvr0151.deltanet.com	-	807257345	GET	/shuttle/missions/51-l/51-l-patch-small.gif	10495	
ABC	edmcfb.yed.ab.doe.ca	-	807257347	GET	/shuttle/missions/sts-70/o-ring-problem.gif	16197	
ABC	castles10.castles.com	-	807257349	GET	/shuttle/missions/sts-70/images/DSC-95EC-0001.gif	107133	
ABC	rvr0151.deltanet.com	-	807257351	GET	/images/KSC-logosmall.gif	1204	
ABC	rvr0151.deltanet.com	-	807257351	GET	/images/launch-logo.gif	1713	
ABC	rvr0151.deltanet.com	-	807257351	GET	/history/apollo/images/apollo-logo1.gif	1173	
ABC	ip55.van2.pacifier.com	-	807257351	GET	/history/apollo/apollo-13/apollo-13-info.html	1583	
ABC	wyndmoor1-7.slip.netaxs.com	-	807257366	GET	/shuttle/missions/missions.html	8677	
ABC	wyndmoor1-7.slip.netaxs.com	-	807257370	GET	/images/launchmedium.gif	11853	
ABC	ip55.van2.pacifier.com	-	807257374	GET	/history/apollo/apollo-13/images/	1851	
ABC	ip55.van2.pacifier.com	-	807257376	GET	/icons/menu.xbm	527	
ABC	ip55.van2.pacifier.com	-	807257376	GET	/icons/image.xbm	509	
ABC	ip55.van2.pacifier.com	-	807257376	GET	/icons/blank.xbm	509	
ABC	c3.reach.net	-	807257377	GET	/shuttle/countdown/video/livevideo2.gif	71319	
ABC	rvr0151.deltanet.com	-	807257382	GET	/shuttle/resources/orbiters/challenger.html	8089	
ABC	rvr0151.deltanet.com	-	807257383	GET	/shuttle/resources/orbiters/challenger-logo.gif	4179	
ABC	rvr0151.deltanet.com	-	807257388	GET	/shuttle/resources/orbiters/orbiters-logo.gif	1932	
ABC	rvr0151.deltanet.com	-	807257388	GET	/images/ksclogosmall.gif	3635	
ABC	www-a1.proxy.aol.com	-	807257389	GET	/images/	17688	
ABC	ad03-053.compuserve.com	-	807257400	GET	/ksc.html	7280	
ABC	bettong.client.uq.oz.au	-	807257404	GET	/history/history.html	1602	
ABC	ad03-053.compuserve.com	-	807257405	GET	/images/ksclogo-medium.gif	5866	
ABC	ad03-053.compuserve.com	-	807257413	GET	/images/NASA-logosmall.gif	786	
ABC	ad03-053.compuserve.com	-	807257414	GET	/images/MOSAIC-logosmall.gif	363	
ABC	bettong.client.uq.oz.au	-	807257416	GET	/shuttle/missions/missions.html	8677	
ABC	ad03-053.compuserve.com	-	807257419	GET	/images/WORLD-logosmall.gif	669	
ABC	ip55.van2.pacifier.com	-	807257420	GET	/history/apollo/apollo-13/news/	377	
ABC	ad03-053.compuserve.com	-	807257422	GET	/images/USA-logosmall.gif	234	
ABC	ip55.van2.pacifier.com	-	807257427	GET	/history/apollo/apollo-13/	1732	
ABC	ip55.van2.pacifier.com	-	807257430	GET	/icons/text.xbm	527	
ABC	ip-pdx4-15.teleport.com	-	807257430	GET	/facilities/lcc.html	2489	
ABC	ad03-053.compuserve.com	-	807257431	GET	/shuttle/countdown/	4324	
ABC	ip-pdx4-15.teleport.com	-	807257433	GET	/images/ksclogosmall.gif	3635	
